"","ID","MonthlyIncome"
"1",871,5781.18626117851
"2",872,2514.04342979582
"3",873,12269.779942154
"4",874,2407.9923222127
"5",875,2427.43679004958
"6",876,6172.76197757482
"7",877,5831.20145024647
"8",878,2009.44404887737
"9",879,2823.7561039672
"10",880,12458.4444953457
"11",881,9625.33168092568
"12",882,2527.04679862629
"13",883,5727.53691604054
"14",884,5641.51843829713
"15",885,6031.44999164176
"16",886,5793.86614477356
"17",887,6012.40183960847
"18",888,5960.26339094716
"19",889,5474.32035119488
"20",890,2762.31494963925
"21",891,5585.04841786869
"22",892,8654.457459565
"23",893,8723.11207060824
"24",894,5627.49383246195
"25",895,9669.26056645682
"26",896,9033.96560520871
"27",897,8676.89811996615
"28",898,16053.7410683244
"29",899,5715.35515344802
"30",900,2594.30321831764
"31",901,2391.38286206635
"32",902,5920.46633415584
"33",903,6222.14429926828
"34",904,2630.35106376293
"35",905,16370.9653754414
"36",906,5528.21524651174
"37",907,9420.81958836627
"38",908,6016.12905856868
"39",909,2260.36577613704
"40",910,2417.97436158695
"41",911,19133.2562227244
"42",912,2812.02103125163
"43",913,2219.66282187481
"44",914,12943.8219323611
"45",915,5872.25539349134
"46",916,5081.61787430921
"47",917,2409.63851302997
"48",918,5771.80160556967
"49",919,2295.9011495145
"50",920,2600.5087371491
"51",921,2485.42379790152
"52",922,2282.70980411182
"53",923,5425.07788386421
"54",924,5670.72534274635
"55",925,16725.4476815978
"56",926,2423.71360608318
"57",927,5992.54448551455
"58",928,13290.9880581943
"59",929,2260.7683720814
"60",930,2561.61391177803
"61",931,6214.62031600167
"62",932,12680.2624493906
"63",933,8672.5875052438
"64",934,2306.65710932543
"65",935,2164.31017582639
"66",936,2275.32770108913
"67",937,9145.67889327
"68",938,9280.53844645358
"69",939,6172.1587535625
"70",940,2341.50188330924
"71",941,2768.25184354746
"72",942,8882.68249778028
"73",943,9571.92464723897
"74",944,5856.61503838181
"75",945,2255.12434239758
"76",946,5755.74676557797
"77",947,2460.33770946865
"78",948,2540.95342796696
"79",949,2594.71025317033
